# dom_assign_file=gen_genF/genomes_refseq_nr_22122016_size200_cover10.faa.out.hmmsearch.tab
# list_file=oxli.txt
# RefSeq_file=assembly_refseq.nr2016.txt
# PSEUDOCOUNT=0.8

# number of taxa in oxli.txt = 53

	PF00067	PF00115	PF00116	PF00117	PF00120	PF00142	PF00148	PF00173	PF00174	PF00175	PF00194	PF00208	PF00310	PF00384	PF00441	PF00484	PF00696	PF00795	PF00970	PF00988	PF01077	PF01493	PF01568	PF01645	PF02142	PF02239	PF02335	PF02461	PF02560	PF02665	PF02771	PF02786	PF02787	PF02812	PF03060	PF03063	PF03069	PF03139	PF03404	PF03460	PF03951	PF04324	PF04879	PF04898	PF05088	PF07732	PF07992	PF11844	PF13247	PF13442	PF13447	PF13806	PF14691	PF14710	PF14711
Methylobacterium nodulans ORS 2060	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1
Brachyspira hyodysenteriae WA1	0	0	0	1	1	1	0	0	0	1	0	1	1	0	1	0	1	1	1	1	0	0	0	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0
Desulfovibrio desulfuricans subsp. desulfuricans str. ATCC 27774	0	0	0	1	1	1	0	0	0	1	0	1	0	1	0	1	1	1	0	1	1	1	1	1	1	0	1	0	0	1	0	1	1	1	1	1	0	0	0	1	0	1	1	0	0	0	1	0	1	1	0	0	1	0	0
Halorubrum lacusprofundi ATCC 49239	1	1	1	1	1	1	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	1	0	0	1	1	1	1	1	0	1	1	0	1	0	0	0	0	0	0
Geobacter daltonii FRC-32	0	1	0	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	0
Caldicellulosiruptor bescii DSM 6725	0	0	0	1	1	1	0	0	0	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	1	1	1	0	1	1	0	0	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	0	0
Thermococcus gammatolerans EJ3	0	0	0	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	1	0	0
Sulfolobus islandicus L.S.2.15	0	1	1	1	1	0	0	0	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	1	1	0	1	1	0	0	1	0	1	0	0	1	0	0	0
Neorickettsia risticii str. Illinois	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0
Thermococcus sibiricus MM 739	0	0	0	1	1	1	0	0	1	1	0	1	0	1	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0
Acidobacterium capsulatum ATCC 51196	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	1	1	1	1	1	0	1	0	0	1	1	0	1	1	0	1	1	0	0	1	0	0	0	0	0
Blattabacterium sp. (Blattella germanica) str. Bge	0	1	0	1	0	0	0	0	0	1	0	1	1	0	0	0	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
Burkholderia glumae BGR1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	1
Bartonella grahamii as4aup	0	1	1	1	1	1	0	0	0	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0
Rickettsia prowazekii str. Rp22	0	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0
Edwardsiella ictaluri 93-146	0	1	1	1	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	0	1	1	0	1	1	0	0	1	1	1
Corynebacterium aurimucosum ATCC 700975	0	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	0	1	0	0	1	1	0	1	1	0	0	0	0	0
Aggregatibacter aphrophilus NJ8700	0	1	0	1	1	0	0	0	0	1	0	1	0	1	0	1	1	1	1	0	0	0	1	1	1	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	1	1	0	1	1	0	0	0	0	0
Teredinibacter turnerae T7901	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	0	1	1	0	1	0	1	1	0	0
Exiguobacterium sp. AT1b	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	1	0	0	1	0	1	1	0	1	1	0	0	1	0	0
Tolumonas auensis DSM 9187	0	1	1	1	1	1	1	0	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	1	1	1	0	1	1	0	0	0	0	1	1	0	0
Lactobacillus plantarum JDM1	0	0	0	1	1	1	0	1	0	0	1	1	0	1	1	0	1	1	0	1	0	0	0	1	1	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	1
Beutenbergia cavernae DSM 12333	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	1	1	0	1	1	1	1	0	1	1	0	1	1	0	1
Dyadobacter fermentans DSM 18053	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	0
Corynebacterium kroppenstedtii DSM 44385	0	1	1	1	1	1	0	0	0	0	0	1	1	0	1	1	1	1	0	1	0	1	0	1	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	1	1	0	0	1	0	1	1	0	0	1	0	0	1	0	0
Mycoplasma mycoides subsp. capri str. GM12	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Rhizobium leguminosarum bv. trifolii WSM1325	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0
Micrococcus luteus NCTC 2665	0	1	1	1	1	1	0	0	0	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	0	0	1	0	1	1	0	0	1	0	1	1	0	0
Desulfomicrobium baculatum DSM 4028	0	1	1	1	1	1	1	0	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	1	1	1	1	1	0	0	0	1	1	1	1	1	0	1	1	0	1	1	1	0	1	0	0
Actinosynnema mirum DSM 43827	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	1	0	0	0	0	1	1	1	1	0	1	1	1	0	1	1	0	1	1	0	1
Acidimicrobium ferrooxidans DSM 10331	0	1	1	1	1	1	0	0	1	1	0	0	1	1	1	0	1	1	1	1	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	1	0	1	1	1	0	1	0	1	1	0	1	1	0	0
Capnocytophaga ochracea DSM 7271	0	1	0	1	1	1	0	0	0	1	0	1	0	0	1	1	1	1	1	1	0	0	0	1	1	0	1	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0
Kosmotoga olearia TBF 19.5.1	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	1	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	1	0	0
Variovorax paradoxus S110	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	0	1	0	0	1	0	1	1	1	0	1	1	0	1	1	0	1	1	0	0
Geobacillus sp. WCH70	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	0	1	1	0	0	1	0	0	1	0	0
Brachybacterium faecium DSM 4810	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1	0	0	1	1	1	1	0	0	1	1	0	1	1	0	1	0	0	1
Desulfovibrio salexigens DSM 2638	0	0	0	1	1	1	1	0	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	1	0	1	1	0	0	1	0	0
Zunongwangia profunda SM-A87	1	1	1	1	1	1	0	0	0	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	0	0	1	0	1	1	0	0	1	0	0	0	0	0
Paenibacillus sp. JDR-2	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	1	0	0	1	1	1	0	1	0	1	1	0	0	1	0	1	1	0	0
Pectobacterium carotovorum subsp. carotovorum PC1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	1	1	0	1	0	0	1	1	0	1
Geobacter sp. M21	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0
Methylotenera mobilis JLW8	0	1	1	1	1	1	0	0	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	0
Flavobacteriaceae bacterium 3519-10	0	1	0	1	1	1	0	0	0	1	0	1	0	0	1	1	1	1	1	1	0	0	0	1	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0
Methylovorus glucosetrophus SIP3-4	0	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	0	1	0	1	0	0	1	1	1	1	0	0	1	1	0	0	1	0	1	1	0	0
Candidatus Liberibacter asiaticus str. psy62	0	1	1	1	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0
Hirschia baltica ATCC 49814	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	0	0	1	0	1	1	0	0
Pedobacter heparinus DSM 2366	1	1	1	1	1	1	0	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	0	0	0	1	0	0	1	0	1	1	0	1	1	0	0
Cryptobacterium curtum DSM 15641	0	0	0	1	1	1	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	1	1	0	1	1	1	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0
Saccharomonospora viridis DSM 43017	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0	1	0	0	1	1	0	1	1	1	1	1	0	1	1	0	1	1	0	0
Slackia heliotrinireducens DSM 20476	0	0	0	1	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1	1	0	0	1	0	1	0	1	0	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0	1	0	0
Leptotrichia buccalis C-1013-b	0	0	0	1	1	0	0	0	0	1	0	1	0	0	1	0	1	0	1	1	1	0	0	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Kytococcus sedentarius DSM 20547	1	0	1	1	1	1	0	0	0	1	0	1	1	0	1	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	1	1	1	1	0	0	1	0	0	0	1	0	1	0	1	1	1	0	1	1	0	1	0	0	0
Halorhabdus utahensis DSM 12940	1	1	1	1	1	0	0	0	1	1	0	1	1	1	0	1	1	0	1	1	1	0	0	1	1	0	0	0	0	0	0	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	0	1	0	0	0	1	0	0
Halomicrobium mukohataei DSM 12286	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1	1	0	1	0	0	0	0	0	0
Methanocaldococcus fervens AG86	0	0	0	1	1	1	1	0	0	1	0	1	1	1	0	1	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0
Chitinophaga pinensis DSM 2588	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	0	1	0	1	1	0	1	1	0	1	1	0	0
Catenulispora acidiphila DSM 44928	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1
Jonesia denitrificans DSM 20603	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	1	1	1	0	1	0	1	1	0	1	1	0	1	1	0	1
Kangiella koreensis DSM 16069	0	1	1	1	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	1	1	0	0	0	1	1
Anaerococcus prevotii DSM 20548	0	0	0	1	1	1	0	0	0	0	0	1	0	0	1	0	1	1	1	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0
Robiginitalea biformata HTCC2501	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	1	1	1	0	0	1	0	1	1	0	1	1	0	0	1	0	0
Candidatus Accumulibacter phosphatis clade IIA str. UW-1	0	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	0	1	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0
Methanobrevibacter ruminantium M1	0	0	0	1	1	1	1	0	0	1	0	1	0	1	0	1	1	1	0	1	0	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0
Desulfotomaculum acetoxidans DSM 771	0	0	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	1	1	1	1	1	1	1	0	0	0	1	1	0	1	1	0	0	1	0	1	0	0	0	1	0	0
Atopobium parvulum DSM 20469	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
Eggerthella lenta DSM 2243	0	0	0	1	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1	1	0	0	1	0	1	0	1	0	0	1	1	1	1	1	1	1	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1	0	0
Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446	1	1	1	1	1	1	0	0	1	0	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0	1	0	0	1	1	0	1	1	0	1	1	0	0	0	0	1	0	0	0
Desulfohalobium retbaense DSM 5692	0	0	0	1	1	1	0	0	0	1	0	1	1	1	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	1	0	1	1	0	1	1	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0
Kribbella flavida DSM 17836	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1
Nakamurella multipartita DSM 44233	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1
Thermomonospora curvata DSM 43183	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	0	1	0	1	1	0	0
Sebaldella termitidis ATCC 33386	0	0	0	1	1	1	0	0	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	0	1	1	1	0	0	1	0	1	0	0	0	1	0	0
Meiothermus ruber DSM 1279	1	1	1	1	1	1	0	0	1	0	0	1	1	1	1	0	1	1	0	1	1	0	1	1	1	0	0	0	0	0	1	1	1	1	1	0	1	0	1	1	1	0	1	1	0	1	1	0	0	1	0	1	1	0	0
Bifidobacterium dentium Bd1	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	1	1	1	0	1	0	1	0	1	1	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0
Candidatus Puniceispirillum marinum IMCC1322	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	0	1	0	1	0	0	0	1	0	0
Anaplasma centrale str. Israel	0	1	1	1	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0
Stackebrandtia nassauensis DSM 44728	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1
Streptobacillus moniliformis DSM 12112	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Ammonifex degensii KC4	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	1	1	0	1	1	0	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0
Methanocaldococcus vulcanius M7	0	0	0	1	1	1	1	0	0	1	0	1	1	1	0	0	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0
Pectobacterium parmentieri WPP163	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	1	1	0	1	0	0	1	1	0	1
Fibrobacter succinogenes subsp. succinogenes S85	0	0	0	1	1	1	1	0	0	1	0	1	1	0	1	0	1	1	0	1	1	1	0	1	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0
Paenibacillus sp. Y412MC10	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	0	1	1	0	1	0	0	1
Nitrosococcus halophilus Nc 4	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	0	0	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	0	0
Halothiobacillus neapolitanus c2	1	1	1	1	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	1	1	1	1	1	1	0	0	0	1	0	1	1	1	0	1	0	1	0	1	1	1	1	0	1	0	1	1	0	0	1	0	1	1	0	0
Gordonia bronchialis DSM 43247	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1
Haliangium ochraceum DSM 14365	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	1	1	0	0	1	0	0
Vibrio antiquarius	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	0
Rhodothermus marinus DSM 4252	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	0	0	0	1	1	0	1	1	0	1	1	0	0
Streptosporangium roseum DSM 43021	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	0	1
Sulfurospirillum deleyianum DSM 6946	0	1	0	1	1	1	0	0	1	0	0	1	1	1	0	1	1	1	0	1	0	1	1	1	1	0	1	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	0	0	1	0	1	1	0	0	1	0	0
Thermanaerovibrio acidaminovorans DSM 6589	0	0	0	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0	1	0	0
Sanguibacter keddieii DSM 10542	0	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	0	0	0	0	1	1	1	1	0	0	1	0	0	1	1	1	0	1	0	0	1	0	0	1	0	1	1	0	0
Veillonella parvula DSM 2008	0	1	0	1	1	0	0	0	0	1	0	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	0	0	0	1	0	1	1	1	1	1	0	0	0	1	0	1	1	1	0	0	1	0	1	0	0	0	1	1	1
Xylanimonas cellulosilytica DSM 15894	0	0	1	1	1	1	0	0	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	1	1	1	0	1	0	1	1	0	1	1	0	1	1	0	1
Sphaerobacter thermophilus DSM 20745	0	1	1	1	1	1	0	0	1	1	0	1	0	1	1	0	1	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	1	0	1	1	1	0	0	1	1	0	1	1	0	1	0	0	0
Thermobaculum terrenum ATCC BAA-798	0	1	1	1	1	1	0	0	1	0	0	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	0	0	0	1	1	1	1	1	0	0	0	1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	0	0
Dehalococcoides mccartyi VS	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	1	0	0	0	1	0	0
Dickeya zeae Ech586	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	0	1	1	0	1	0	0	1	1	0	1
Staphylococcus lugdunensis HKU09-01	0	1	1	1	1	1	0	0	0	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	0	1	0	1	0	0	1	1	0	1
Candidatus Atelocyanobacterium thalassa isolate ALOHA	0	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0
Pirellula staleyi DSM 6068	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	0	1	0	1	1	0	1	1	0	0
Gardnerella vaginalis 409-05	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Mageeibacillus indolicus UPII9-5	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0
Conexibacter woesei DSM 14684	1	1	1	1	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	1	0	1	1	1	0	1	1	0	1	1	0	0	1	0	1	0	0	0
