	sulfur	carbon	oxygen	iron	nitrogen
GCF_000968375.1	0.21	0.22	0.42	0.06	0.45
GCF_000024905.1	0.2	0.03	0	0.07	0.19
GCF_000184685.1	0.2	0.04	0.33	0.73	0.72
GCF_000299395.1	0.2	0.07	0.24	0.24	0.45
GCF_000828915.1	0.2	0.05	0.28	0.34	0.64
GCF_000230975.2	0.2	0.18	0.31	0.4	0.71
GCF_000069965.1	0.2	0.06	0.2	0.3	0.54
GCF_000270305.1	0.2	0.09	0.35	0.15	0.42
GCF_000147695.2	0.2	0.06	0.19	0.09	0.37
GCF_000014725.1	0.2	0.06	0.14	0.43	0.35
GCF_000025005.1	0.2	0.08	0.26	0.32	0.64
GCF_000015025.1	0.2	0.05	0.34	0.3	0.65
GCF_000017845.1	0.2	0.12	0.61	0.39	0.75
GCF_000389635.1	0.2	0.1	0.38	0.13	0.54
GCF_000955905.1	0.2	0.06	0.26	0.22	0.45
GCF_000316625.1	0.2	0.12	0.63	0.37	0.8
GCF_000157895.3	0.2	0.05	0.43	0.31	0.75
GCF_000012185.1	0.2	0.01	0	0.43	0.23
GCF_000012305.1	0.2	0.04	0.21	0.47	0.57
GCF_000316645.1	0.2	0.16	0.7	0.38	0.77
GCF_000754265.1	0.2	0.02	0.24	0.09	0.31
GCF_000807175.1	0.2	0.11	0.38	0.15	0.52
GCF_000317695.1	0.2	0.12	0.77	0.31	0.79
GCF_000091985.1	0.2	0.02	0.11	0.44	0.32
GCF_000242895.2	0.2	0.07	0.27	0.78	0.69
GCF_000747345.1	0.2	0.04	0.26	0.31	0.57
GCF_001277295.1	0.2	0.12	0.61	0.35	0.77
GCF_001038625.1	0.2	0.23	0.42	0.11	0.49
GCF_000164985.3	0.2	0.04	0.34	0.19	0.45
GCF_900087055.1	0.2	0.06	0.21	0.74	0.64
GCF_001618685.1	0.2	0.06	0.26	0.4	0.65
GCF_000018025.1	0.19	0.05	0.25	0.97	0.57
GCF_000284235.1	0.19	0.08	0.46	0.44	0.7
GCF_000316515.1	0.19	0.09	0.65	0.38	0.69
GCF_000300455.3	0.19	0.09	0.43	0.2	0.68
GCF_000512125.1	0.19	0.07	0.21	0.59	0.65
GCF_000007865.1	0.19	0.03	0.42	0.21	0.7
GCF_000738435.1	0.19	0.08	0.58	0.39	0.72
GCF_000017425.1	0.19	0.04	0.36	0.35	0.6
GCF_000317125.1	0.19	0.09	0.67	0.42	0.83
GCF_000011345.1	0.19	0.11	0.64	0.42	0.57
GCF_000260985.3	0.19	0.19	0.46	0.38	0.68
GCF_000758705.1	0.19	0.09	0.51	0.37	0.62
GCF_000981585.1	0.19	0.09	0.57	0.37	0.65
GCF_000317515.1	0.19	0.14	0.67	0.37	0.81
GCF_000015745.1	0.19	0.06	0.3	0.38	0.58
GCF_001558255.1	0.19	0.04	0.3	0.79	0.56
GCF_000092605.1	0.19	0.04	0.08	0.67	0.55
GCF_000316575.1	0.19	0.13	0.62	0.37	0.75
GCF_000600105.1	0.19	0.05	0.22	0.44	0.49
GCF_000812185.1	0.19	0.03	0.26	0.25	0.43
GCF_000196515.1	0.19	0.11	0.7	0.31	0.68
GCF_000258405.1	0.19	0.05	0.12	0.68	0.47
GCF_000284635.1	0.19	0.03	0.05	0.63	0.42
GCF_000013605.1	0.19	0.06	0.43	0.92	0.69
GCF_000024405.1	0.19	0.06	0.12	0.04	0.32
GCF_000834455.1	0.19	0.06	0.25	0.62	0.66
GCF_000828675.1	0.19	0.02	0.01	0.05	0.2
GCF_000300475.1	0.19	0.05	0.46	0.36	0.68
GCF_000022065.1	0.19	0.1	0.16	0.09	0.35
GCF_000014665.1	0.19	0.05	0.26	0.96	0.5
GCF_000012605.1	0.19	0.08	0.34	0.49	0.63
GCF_000145615.1	0.19	0.08	0.41	0.08	0.39
GCF_000020445.1	0.19	0.12	0.71	0.86	0.81
GCF_001484565.1	0.19	0.04	0.32	0.26	0.74
GCF_000981785.1	0.19	0.13	0.67	0.31	0.71
GCF_000011605.1	0.19	0.09	0.44	0.43	0.7
GCF_000010645.1	0.19	0.06	0.41	0.07	0.39
GCF_000011785.1	0.18	0.01	0	0.44	0.25
GCF_000007085.1	0.18	0.09	0.08	0.11	0.32
GCF_000023385.1	0.18	0.05	0.33	0.38	0.59
GCF_000018945.1	0.18	0.06	0.14	0.1	0.31
GCF_000018145.1	0.18	0.11	0.55	0.71	0.8
GCF_000012465.1	0.18	0.06	0.78	0.33	0.5
GCF_000757865.1	0.18	0.06	0.78	0.33	0.5
GCF_000758525.1	0.18	0.05	0.51	0.37	0.59
GCF_000758625.1	0.18	0.05	0.51	0.36	0.64
GCF_000317105.1	0.18	0.13	0.61	0.44	0.7
GCF_000063525.1	0.18	0.09	0.77	0.33	0.63
GCF_000154785.2	0.18	0.11	0.55	0.61	0.77
GCF_001021065.1	0.18	0.02	0.26	0.24	0.51
GCF_000209675.1	0.18	0.03	0.24	0.59	0.37
GCF_000169195.2	0.18	0.0	0.36	0.41	0.48
GCF_000020025.1	0.18	0.13	0.63	0.33	0.78
GCF_000008545.1	0.18	0.06	0.14	0.1	0.32
GCF_001027545.1	0.18	0.06	0.34	0.09	0.34
GCF_000006825.1	0.18	0.01	0	0.49	0.3
GCF_000018825.1	0.18	0.05	0.46	0.36	0.68
GCF_001582075.1	0.18	0.08	0.31	0.2	0.64
GCF_000279145.1	0.18	0.04	0.29	0.68	0.58
GCF_000956175.1	0.18	0.07	0.26	0.25	0.44
GCF_000015005.1	0.18	0.04	0.43	0.22	0.7
GCF_000009865.1	0.18	0.01	0.28	0.16	0.44
GCF_001402875.1	0.18	0.06	0.53	0.74	0.68
GCF_000214825.1	0.18	0.06	0.29	0.34	0.61
GCF_000266905.1	0.18	0.05	0.34	0.24	0.79
GCF_000011485.1	0.18	0.05	0.7	0.33	0.55
GCF_000015705.1	0.18	0.04	0.69	0.31	0.56
GCF_000764555.1	0.18	0.03	0.11	0.16	0.37
GCF_001421015.1	0.18	0.03	0.28	0.16	0.54
GCF_000265425.1	0.18	0.08	0.42	0.48	0.71
GCF_000968535.2	0.18	0.19	0.48	0.73	0.7
GCF_000317615.1	0.18	0.1	0.81	0.39	0.62
GCF_000195275.1	0.18	0.07	0.17	0.11	0.17
GCF_000012505.1	0.17	0.05	0.77	0.31	0.64
GCF_000757845.1	0.17	0.08	0.67	0.33	0.52
GCF_000009785.1	0.17	0.06	0.3	0.38	0.65
GCF_000025065.1	0.17	0.07	0.27	0.16	0.62
GCF_000015505.1	0.17	0.08	0.54	0.35	0.79
GCF_000834515.1	0.17	0.06	0.28	0.62	0.71
GCF_000019965.1	0.17	0.06	0.32	0.59	0.66
GCF_000016885.1	0.17	0.04	0.26	0.82	0.6
GCF_000470655.1	0.17	0.11	0.26	0.34	0.49
GCF_000015245.1	0.17	0.05	0.27	0.96	0.53
GCF_000010625.1	0.17	0.12	0.67	0.39	0.7
GCF_000026045.1	0.17	0.12	0.31	0.22	0.58
GCF_001443645.1	0.17	0.05	0.01	0.03	0.14
GCF_000742855.1	0.17	0.05	0.35	0.35	0.64
GCF_001273775.1	0.17	0.06	0.36	0.72	0.73
GCF_000019065.1	0.17	0.04	0.26	0.07	0.28
GCF_000194805.1	0.17	0.04	0.25	0.71	0.72
GCF_000013685.1	0.17	0.11	0.62	0.73	0.78
GCF_000011965.2	0.17	0.06	0.36	0.59	0.7
GCF_000300005.1	0.17	0.03	0.43	0.73	0.63
GCF_000012645.1	0.17	0.06	0.7	0.33	0.49
GCF_000184325.1	0.17	0.07	0.29	0.77	0.61
GCF_000293885.2	0.17	0.04	0.42	0.49	0.75
GCF_001658025.1	0.17	0.09	0.42	0.25	0.68
GCF_000145235.1	0.17	0.02	0.33	0.27	0.71
GCF_000819565.1	0.17	0.08	0.36	0.38	0.68
GCF_001511755.1	0.17	0.04	0.4	0.73	0.77
GCF_000007825.1	0.17	0.02	0.36	0.36	0.62
GCF_000477435.1	0.17	0.04	0.22	0.12	0.4
GCF_000014885.1	0.17	0.05	0.26	0.91	0.6
GCF_000981805.1	0.17	0.09	0.28	0.72	0.66
GCF_000973525.1	0.17	0.01	0.05	0.49	0.31
GCF_000024385.1	0.17	0.05	0.34	0.24	0.71
GCF_000260965.1	0.17	0.2	0.33	0.33	0.64
GCF_000014585.1	0.16	0.06	0.77	0.4	0.62
GCF_000484535.1	0.16	0.09	0.6	0.31	0.73
GCF_000445995.2	0.16	0.05	0.28	0.4	0.65
GCF_000217815.1	0.16	0.04	0.04	0.05	0.25
GCF_000021885.1	0.16	0.01	0	0.48	0.29
GCF_000063505.1	0.16	0.09	0.77	0.36	0.63
GCF_000212415.1	0.16	0.1	0.34	0.07	0.29
GCF_000148645.1	0.16	0.05	0.26	0.94	0.58
GCF_000019285.1	0.16	0.03	0.07	0.03	0.38
GCF_000310065.1	0.16	0.04	0.36	0.33	0.66
GCF_001305615.1	0.16	0.07	0.59	0.64	0.8
GCF_000018325.1	0.16	0.04	0.13	0.22	0.33
GCF_000016725.1	0.16	0.06	0.31	0.37	0.65
GCF_000008525.1	0.16	0.04	0.15	0.39	0.39
GCF_000013245.1	0.16	0.04	0.15	0.39	0.39
GCF_000147055.1	0.16	0.1	0.54	0.13	0.68
GCF_000015865.1	0.16	0.11	0.46	0.12	0.39
GCF_001187845.1	0.16	0.07	0.33	0.38	0.69
GCF_000245355.1	0.16	0.04	0.43	0.28	0.73
GCF_001028085.1	0.16	0.03	0.36	0.38	0.55
GCF_001511815.1	0.16	0.04	0.34	0.26	0.72
GCF_000008425.1	0.16	0.01	0.32	0.37	0.59
GCF_000023085.1	0.16	0.01	0.01	0.03	0.14
GCF_000011085.1	0.16	0.07	0.3	0.32	0.64
GCF_001558435.1	0.16	0.03	0.28	0.82	0.54
GCF_000292685.1	0.16	0.02	0.12	0.09	0.27
GCF_000257545.3	0.16	0.04	0.35	0.62	0.71
GCF_001006005.1	0.16	0.06	0.36	0.62	0.72
GCF_000177255.2	0.16	0.12	0.71	0.91	0.81
GCF_000161795.2	0.16	0.06	0.78	0.33	0.61
GCF_001678945.1	0.16	0.05	0.43	0.43	0.74
GCF_000214155.1	0.16	0.04	0.4	0.21	0.7
GCF_000165715.2	0.16	0.16	0.33	0.55	0.56
GCF_001051995.2	0.16	0.18	0.36	0.8	0.73
GCF_000737535.1	0.16	0.05	0.7	0.41	0.64
GCF_000478905.1	0.16	0.06	0.19	0.06	0.35
GCF_001488575.1	0.16	0.1	0.23	0.27	0.54
GCF_000007845.1	0.16	0.05	0.37	0.36	0.64
GCF_000196695.1	0.16	0.04	0.42	0.23	0.72
GCF_000165505.1	0.16	0.05	0.39	0.12	0.43
GCF_000590925.1	0.16	0.06	0.57	0.45	0.7
GCF_000146165.2	0.16	0.06	0.27	0.91	0.65
GCF_000973705.1	0.16	0.06	0.28	0.1	0.38
GCF_000092645.1	0.16	0.05	0.33	0.38	0.65
GCF_000021745.1	0.16	0.22	0.67	0.48	0.79
GCF_000024425.1	0.16	0.03	0.36	0.31	0.67
GCF_001618885.1	0.16	0.03	0.17	0.17	0.42
GCF_001518835.1	0.16	0.07	0.2	0.19	0.62
GCF_000011365.1	0.15	0.08	0.69	0.76	0.87
GCF_000015185.1	0.15	0.05	0.28	0.96	0.5
GCF_000016065.1	0.15	0.05	0.27	0.96	0.54
GCF_000164865.1	0.15	0.06	0.16	0.21	0.58
GCF_000177235.2	0.15	0.04	0.33	0.43	0.61
GCF_000230735.2	0.15	0.14	0.22	0.12	0.57
GCF_001011115.1	0.15	0.09	0.12	0.12	0.37
GCF_000223905.1	0.15	0.07	0.33	0.28	0.63
GCF_000016425.1	0.15	0.03	0.32	0.21	0.68
GCF_000018265.1	0.15	0.04	0.33	0.22	0.7
GCF_000183745.1	0.15	0.03	0.21	0.6	0.6
GCF_000219045.1	0.15	0.04	0.01	0.08	0.4
GCF_000019785.1	0.15	0.2	0.56	0.79	0.82
GCF_000196395.1	0.15	0.07	0.27	0.82	0.68
GCF_000015785.1	0.15	0.01	0.32	0.34	0.58
GCF_000093085.1	0.15	0.03	0.26	0.74	0.53
GCF_000024685.1	0.15	0.03	0.34	0.37	0.58
GCF_000737595.1	0.15	0.06	0.82	0.33	0.63
GCF_000166055.1	0.15	0.1	0.51	0.73	0.64
GCF_000214375.1	0.15	0.17	0.37	0.11	0.34
GCF_001447335.1	0.15	0.07	0.29	0.91	0.66
GCF_000012985.1	0.15	0.04	0.31	0.67	0.68
GCF_000018685.1	0.15	0.12	0.18	0.1	0.35
GCF_000316605.1	0.15	0.05	0.68	0.57	0.71
GCF_000521655.1	0.15	0.04	0.08	0.45	0.34
GCF_000834215.1	0.15	0.06	0.43	0.6	0.74
GCF_000015265.1	0.15	0.03	0.32	0.33	0.69
GCF_000018045.1	0.15	0.07	0.22	0.76	0.67
GCF_000235585.1	0.15	0.05	0.45	0.19	0.53
GCF_000027085.1	0.15	0.06	0.25	0.59	0.68
GCF_001271345.1	0.15	0.03	0.29	0.76	0.7
GCF_000005825.2	0.15	0.03	0.33	0.34	0.56
GCF_000817975.1	0.15	0.09	0.5	0.61	0.76
GCF_000940995.1	0.15	0.05	0.49	0.88	0.62
GCF_000179915.2	0.15	0.07	0.4	0.56	0.7
GCF_000165925.1	0.15	0.01	0.32	0.33	0.57
GCF_001693385.1	0.15	0.09	0.66	0.73	0.87
GCF_000019725.1	0.15	0.2	0.65	0.61	0.8
GCF_000005845.2	0.15	0.07	0.28	0.58	0.66
GCF_000009685.1	0.15	0.04	0	0.06	0.25
GCF_000009405.1	0.15	0.03	0.23	0.22	0.44
GCF_001559115.1	0.15	0.02	0.24	0.24	0.43
GCF_000009345.1	0.15	0.07	0.27	0.61	0.69
GCF_000758565.1	0.15	0.05	0.53	0.37	0.61
GCF_001047675.1	0.15	0.05	0.26	0.62	0.69
GCF_000422085.1	0.15	0.07	0.34	0.57	0.7
GCF_000014705.1	0.15	0.06	0.26	0.92	0.58
GCF_000058485.1	0.15	0.06	0.59	0.24	0.82
GCF_000253295.1	0.15	0.23	0.65	0.77	0.85
GCF_000184705.1	0.15	0.03	0.36	0.36	0.55
GCF_000018085.1	0.15	0.07	0.35	0.57	0.7
GCF_000022085.1	0.15	0.2	0.65	0.47	0.84
GCF_000185245.1	0.14	0.03	0.15	0.38	0.38
GCF_001005905.1	0.14	0.0	0.36	0.33	0.48
GCF_000512185.1	0.14	0.07	0.27	0.82	0.68
GCF_000026225.1	0.14	0.07	0.19	0.55	0.63
GCF_000219875.1	0.14	0.03	0.21	0.21	0.4
GCF_000255135.1	0.14	0.04	0	0.05	0.21
GCF_000009045.1	0.14	0.01	0.32	0.32	0.58
GCF_000007725.1	0.14	0.02	0.14	0.1	0.28
GCF_000011385.1	0.14	0.09	0.6	0.32	0.72
GCF_000061505.1	0.14	0.08	0.6	0.88	0.79
GCF_000723465.1	0.14	0.08	0.46	0.07	0.28
GCF_000020225.1	0.14	0.05	0.35	0.37	0.4
GCF_000241385.1	0.14	0.06	0.51	0.93	0.68
GCF_000473245.1	0.14	0.04	0.37	0.33	0.62
GCF_000317575.1	0.14	0.08	0.65	0.37	0.73
GCF_000739435.1	0.14	0.03	0.13	0.45	0.37
GCF_000648515.1	0.14	0.05	0.14	0.59	0.65
GCF_001022155.1	0.14	0.06	0.26	0.76	0.69
GCF_000145275.1	0.14	0.06	0.36	0.1	0.39
GCF_000016325.1	0.14	0.07	0.2	0.16	0.6
GCF_000217715.1	0.14	0.13	0.29	0.12	0.62
GCF_000017645.1	0.14	0.2	0.67	0.59	0.81
GCF_000012625.1	0.14	0.06	0.81	0.33	0.6
GCF_000024985.1	0.14	0.03	0.12	0.31	0.58
GCF_000829965.1	0.14	0.09	0.49	0.37	0.75
GCF_000023705.1	0.14	0.19	0.36	0.64	0.64
GCF_000178955.2	0.14	0.07	0.46	0.53	0.73
GCF_001318345.1	0.14	0.08	0.08	0.44	0.4
GCF_000829195.1	0.14	0.02	0.31	0.33	0.46
GCF_000015845.1	0.14	0.05	0.29	0.91	0.54
GCF_000146565.1	0.14	0.01	0.32	0.3	0.58
GCF_000828515.1	0.14	0.04	0.24	0.09	0.34
GCF_000294775.2	0.14	0.03	0.35	0.37	0.7
GCF_000153405.2	0.14	0.08	0.22	0.79	0.52
GCF_000237085.1	0.14	0.16	0.46	0.09	0.41
GCF_000327065.1	0.14	0.07	0.4	0.79	0.61
GCF_001029105.3	0.14	0.06	0.33	0.46	0.75
GCF_000011725.1	0.14	0.03	0.15	0.39	0.38
GCF_000021685.1	0.14	0.06	0.25	0.28	0.6
GCF_000009605.1	0.14	0.04	0.28	0.1	0.33
GCF_000225445.1	0.14	0.04	0.28	0.1	0.33
GCF_000521525.1	0.14	0.03	0.24	0.11	0.33
GCF_000178975.2	0.14	0.02	0.35	0.4	0.72
GCF_000296215.2	0.14	0.08	0.69	0.66	0.87
GCF_001456065.2	0.14	0.1	0.34	0.07	0.37
GCF_000807415.2	0.14	0.07	0.2	0.15	0.6
GCF_000689415.1	0.14	0.05	0.34	0.76	0.72
GCF_000494755.1	0.13	0.03	0.33	0.26	0.72
GCF_000008265.1	0.13	0.03	0.18	0.24	0.49
GCF_000021045.1	0.13	0.09	0.5	0.6	0.75
GCF_000196455.1	0.13	0.1	0.02	0.06	0.32
GCF_000008785.1	0.13	0.03	0.15	0.38	0.38
GCF_000023865.1	0.13	0.06	0.46	0.21	0.68
GCF_000190435.1	0.13	0.06	0.13	0.07	0.2
GCF_000011745.1	0.13	0.03	0.29	0.12	0.36
GCF_000185985.2	0.13	0.02	0.24	0.09	0.34
GCF_000013345.1	0.13	0.07	0.59	0.26	0.8
GCF_000008345.1	0.13	0.02	0.15	0.36	0.53
GCF_000316175.1	0.13	0.04	0.32	0.63	0.71
GCF_000286275.1	0.13	0.07	0.26	0.23	0.65
GCF_000632395.1	0.13	0.07	0.2	0.2	0.62
GCF_000015645.1	0.13	0.06	0.7	0.33	0.49
GCF_000018065.1	0.13	0.06	0.69	0.33	0.49
GCF_000012805.1	0.13	0.13	0.31	0.84	0.7
GCF_000014285.1	0.13	0.19	0.32	0.26	0.69
GCF_000485905.1	0.13	0.05	0.48	0.34	0.62
GCF_000014825.1	0.13	0.14	0.71	0.97	0.82
GCF_000213255.1	0.13	0.06	0.06	0.09	0.27
GCF_000013185.1	0.13	0.03	0.25	0.09	0.32
GCF_000154745.2	0.13	0.06	0.36	0.37	0.67
GCF_000244875.1	0.13	0.09	0.36	0.07	0.4
GCF_000020285.1	0.13	0.09	0.17	0.06	0.3
GCF_000225465.1	0.13	0.02	0.24	0.1	0.33
GCF_000017025.1	0.13	0.07	0.29	0.11	0.36
GCF_000263195.1	0.13	0.06	0.35	0.51	0.64
GCF_000147715.2	0.13	0.04	0.02	0.04	0.27
GCF_000737575.1	0.13	0.05	0.8	0.33	0.63
GCF_000227665.2	0.13	0.05	0.38	0.31	0.68
GCF_000195515.1	0.13	0.01	0.32	0.34	0.56
GCF_000007365.1	0.13	0.02	0.14	0.1	0.27
GCF_000009365.1	0.13	0.04	0.36	0.51	0.56
GCF_000020145.1	0.13	0.02	0	0.07	0.28
GCF_000376545.2	0.13	0.06	0.36	0.35	0.65
GCF_000015725.1	0.13	0.19	0.41	0.44	0.74
GCF_000023065.1	0.13	0.09	0.55	0.23	0.58
GCF_000025905.1	0.13	0.06	0.62	0.52	0.64
GCF_000014065.1	0.13	0.06	0.36	0.4	0.66
GCF_000317495.1	0.13	0.11	0.65	0.37	0.72
GCF_000017665.1	0.13	0.07	0.27	0.33	0.61
GCF_000330845.1	0.13	0.06	0.4	0.36	0.7
GCF_000347595.1	0.13	0.02	0	0.48	0.31
GCF_000024365.1	0.13	0.04	0.35	0.24	0.71
GCF_000043285.1	0.13	0.03	0.29	0.09	0.36
GCF_000204155.1	0.13	0.03	0.34	0.22	0.66
GCF_000219705.1	0.13	0.04	0.26	0.36	0.68
GCF_000317065.1	0.13	0.09	0.66	0.57	0.67
GCF_000982715.1	0.13	0.04	0.32	0.24	0.66
GCF_001277195.1	0.13	0.07	0.31	0.33	0.62
GCF_001277255.1	0.13	0.07	0.37	0.33	0.63
GCF_000010165.1	0.13	0.03	0.36	0.36	0.66
GCF_001553895.1	0.13	0.01	0.32	0.32	0.57
GCF_000143985.1	0.13	0.13	0.33	0.07	0.3
GCF_000306785.1	0.13	0.03	0.34	0.22	0.7
GCF_000237145.1	0.13	0.03	0.33	0.27	0.73
GCF_000284295.1	0.13	0.03	0.33	0.25	0.73
GCF_000015665.1	0.13	0.08	0.63	0.28	0.44
GCF_000247605.1	0.13	0.22	0.33	0.11	0.44
GCF_000007925.1	0.12	0.06	0.7	0.33	0.47
GCF_001022135.1	0.12	0.09	0.45	0.2	0.7
GCF_001661075.1	0.12	0.04	0.36	0.72	0.73
GCF_000284375.1	0.12	0.08	0.68	0.65	0.87
GCF_001432245.1	0.12	0.01	0.24	0.19	0.43
GCF_000319575.2	0.12	0.08	0.32	0.38	0.52
GCF_001677275.1	0.12	0.04	0.29	0.8	0.5
GCF_000019525.1	0.12	0.06	0.23	0.95	0.73
GCF_001308265.1	0.12	0.05	0.35	0.59	0.69
GCF_001189295.1	0.12	0.02	0.24	0.47	0.66
GCF_001579905.1	0.12	0.06	0.43	0.74	0.76
GCF_000511385.1	0.12	0.06	0.35	0.34	0.69
GCF_000299355.1	0.12	0.06	0.29	0.02	0.33
GCF_000187705.1	0.12	0.06	0.32	0.32	0.64
GCF_000014165.1	0.12	0.04	0.43	0.23	0.7
GCF_000143085.1	0.12	0.13	0.3	0.68	0.69
GCF_000026145.1	0.12	0.07	0.68	0.65	0.85
GCF_000020165.1	0.12	0.04	0.15	0.11	0.32
GCF_000018285.1	0.12	0.05	0.27	0.94	0.57
GCF_001182765.1	0.12	0.07	0.81	0.33	0.6
GCF_000473995.1	0.12	0.13	0.13	0.17	0.34
GCF_000757785.1	0.12	0.05	0.16	0.56	0.64
GCF_000473305.1	0.12	0.04	0	0.27	0.32
GCF_000006805.1	0.12	0.05	0.06	0.25	0.45
GCF_000013785.1	0.12	0.09	0.64	0.88	0.69
GCF_000287335.1	0.12	0.03	0.21	0.12	0.34
GCF_000009825.1	0.12	0.02	0.33	0.4	0.53
GCF_000025325.1	0.12	0.11	0.29	0.12	0.65
GCF_000632475.1	0.12	0.19	0.58	0.82	0.82
GCF_000513475.1	0.12	0.01	0.05	0.01	0.03
GCF_000696485.1	0.12	0.02	0.33	0.51	0.63
GCF_000008005.1	0.12	0.03	0.4	0.36	0.63
GCF_000011465.1	0.12	0.06	0.78	0.33	0.5
GCF_000389965.1	0.12	0.03	0.34	0.26	0.71
GCF_001050115.1	0.12	0.03	0.38	0.37	0.47
GCF_000196675.1	0.12	0.04	0.31	0.24	0.73
GCF_000758545.1	0.12	0.03	0.37	0.34	0.45
GCF_000828475.1	0.12	0.17	0.38	0.61	0.71
GCF_000828815.1	0.12	0.02	0.23	0.09	0.33
GCF_000009285.1	0.12	0.05	0.41	0.76	0.77
GCF_000196015.1	0.12	0.06	0.39	0.76	0.76
GCF_001655615.1	0.12	0.05	0.4	0.38	0.71
GCF_000815025.1	0.12	0.03	0.09	0.13	0.26
GCF_000016985.1	0.12	0.16	0.36	0.22	0.46
GCF_000724505.1	0.12	0.07	0.2	0.19	0.62
GCF_000007565.2	0.12	0.03	0.32	0.49	0.71
GCF_000332735.1	0.12	0.01	0.25	0.2	0.41
GCF_000012405.1	0.12	0.03	0.38	0.24	0.65
GCF_000953015.1	0.12	0.19	0.38	0.36	0.59
GCF_000953435.1	0.12	0.02	0.09	0.1	0.29
GCF_000196835.1	0.12	0.05	0.34	0.29	0.72
GCF_000025565.1	0.12	0.07	0.2	0.2	0.62
GCF_000023605.1	0.12	0.06	0.2	0.43	0.63
GCF_000024645.1	0.12	0.06	0.2	0.43	0.63
GCF_000218915.1	0.12	0.05	0.33	0.33	0.68
GCF_000521605.1	0.11	0.03	0.08	0.45	0.33
GCF_000259175.1	0.11	0.06	0.2	0.56	0.59
GCF_000023965.1	0.11	0.08	0.31	0.25	0.58
GCF_000219175.1	0.11	0.04	0.18	0.01	0.26
GCF_000963495.1	0.11	0.05	0.41	0.64	0.75
GCF_001305595.1	0.11	0.2	0.53	0.78	0.83
GCF_000698865.1	0.11	0.04	0.39	0.42	0.72
GCF_001652505.1	0.11	0.07	0.2	0.21	0.63
GCF_000018105.1	0.11	0.11	0.67	0.65	0.77
GCF_001017655.1	0.11	0.02	0.08	0.06	0.24
GCF_000092365.1	0.11	0.01	0	0.5	0.38
GCF_000015165.1	0.11	0.07	0.68	0.76	0.86
GCF_000239975.1	0.11	0.07	0.2	0.2	0.62
GCF_001586255.1	0.11	0.03	0.41	0.63	0.59
GCF_000317085.1	0.11	0.09	0.73	0.34	0.65
GCF_001481725.1	0.11	0.22	0.35	0.05	0.36
GCF_000014565.1	0.11	0.04	0.34	0.22	0.72
GCF_000226295.1	0.11	0.09	0.46	0.62	0.59
GCF_000092425.1	0.11	0.04	0.39	0.39	0.66
GCF_000144645.1	0.11	0.15	0	0.06	0.22
GCF_000196815.1	0.11	0.07	0.34	0.54	0.69
GCF_000306765.2	0.11	0.11	0.31	0.28	0.57
GCF_001578185.1	0.11	0.05	0.39	0.31	0.63
GCF_000328685.1	0.11	0.12	0.27	0.18	0.63
GCF_000176035.2	0.11	0.09	0.61	0.49	0.79
GCF_000014905.1	0.11	0.06	0.33	0.69	0.75
GCF_000010525.1	0.11	0.06	0.68	0.49	0.78
GCF_000241875.1	0.11	0.02	0.29	0.22	0.37
GCF_001026985.1	0.11	0.06	0.28	0.63	0.7
GCF_000349765.1	0.11	0.02	0	0.48	0.28
GCF_000342265.1	0.11	0.07	0.3	0.45	0.62
GCF_000020585.3	0.11	0.04	0.27	0.65	0.5
GCF_000025085.1	0.11	0.01	0.23	0.17	0.39
GCF_000281695.1	0.11	0.12	0.22	0.12	0.54
GCF_000023265.1	0.11	0.03	0.27	0.33	0.55
GCF_000511355.1	0.11	0.06	0.32	0.61	0.74
GCF_000013885.1	0.11	0.02	0.4	0.59	0.71
GCF_000981505.1	0.11	0.07	0.4	0.41	0.56
GCF_000014125.1	0.11	0.03	0.04	0.06	0.2
GCF_000252445.1	0.11	0.04	0.45	0.31	0.69
GCF_000734975.2	0.1	0.04	0.34	0.4	0.67
GCF_000176835.2	0.1	0.06	0.26	0.57	0.69
GCF_000585995.1	0.1	0.04	0.3	0.71	0.74
GCF_000019125.1	0.1	0.03	0.26	0.61	0.68
GCF_000025685.1	0.1	0.07	0.28	0.28	0.6
GCF_001586155.1	0.1	0.04	0.31	0.65	0.72
GCF_001559255.1	0.1	0.06	0.38	0.56	0.7
GCF_000828895.1	0.1	0.05	0.3	0.33	0.64
GCF_000340435.2	0.1	0.04	0.42	0.31	0.71
GCF_000230895.2	0.1	0.05	0.33	0.23	0.74
GCF_000367205.1	0.1	0.01	0.29	0.37	0.54
GCF_000800395.1	0.1	0.03	0.39	0.37	0.62
GCF_000973505.1	0.1	0.04	0.28	0.12	0.34
GCF_001304715.1	0.1	0.09	0.36	0.09	0.33
GCF_000015965.1	0.1	0.06	0.7	0.33	0.49
GCF_000195315.1	0.1	0.0	0.06	0.1	0.11
GCF_000017885.4	0.1	0.01	0.35	0.34	0.52
GCF_000143145.1	0.1	0.19	0.4	0.39	0.72
GCF_001634365.1	0.1	0.06	0.35	0.6	0.71
GCF_000090965.1	0.1	0.01	0.14	0.1	0.26
GCF_000284015.1	0.1	0.05	0.35	0.25	0.69
GCF_000600005.1	0.1	0.06	0.33	0.12	0.51
GCF_000789395.1	0.1	0.02	0.02	0.11	0.27
GCF_000091325.1	0.1	0.05	0.27	0.86	0.61
GCF_001654495.1	0.1	0.04	0.42	0.22	0.72
GCF_000190535.1	0.1	0.04	0	0.11	0.33
