# dom_assign_file=gen_genF/genomes_refseq_nr_22122016_size250_cover10.faa.out.hmmsearch.tab
# list_file=Feli.txt
# RefSeq_file=assembly_refseq.nr2016.txt
# PSEUDOCOUNT=0.8

# number of taxa in Feli.txt = 32

	PF00032	PF00033	PF00034	PF00115	PF00116	PF00355	PF00378	PF00465	PF00501	PF00510	PF00550	PF00668	PF01106	PF01154	PF01521	PF01592	PF01794	PF02167	PF02421	PF02535	PF03169	PF03264	PF07664	PF07670	PF08022	PF08030	PF08540	PF09699	PF10399	PF11854	PF13434	PF13523	PF14522
Chloroherpeton thalassium ATCC 35110	0	0	1	0	0	1	1	1	1	0	1	0	1	0	1	1	0	0	1	1	1	0	1	1	0	0	0	1	0	0	1	0	1
Chlorobium phaeobacteroides BS1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	1	0	0	1	1	0	0	0	1	0	0	1	0	1
Candidatus Amoebophilus asiaticus 5a2	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0
Alteromonas mediterranea	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	0	0	0	0	1	0	1	0	1	1	1	1	0	1
[Eubacterium rectale] ATCC 33656	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0
Prosthecochloris aestuarii DSM 271	1	1	1	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	1	0	0	1	1	0	1	0	1	0	0	1	0	1
Pelodictyon phaeoclathratiforme BU-1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	1	0	0	1	0	1
Stenotrophomonas maltophilia R551-3	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	1	1	0
Deinococcus deserti VCD115	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Geobacter bemidjiensis Bem	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	0	1	0	0	1	0	1
Streptococcus equi subsp. zooepidemicus MGCS10565	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0
Hydrogenobaculum sp. Y04AAS1	1	1	1	1	0	1	0	1	1	0	1	0	1	0	1	1	0	1	1	0	0	0	1	1	0	0	0	0	1	0	1	0	0
Anaeromyxobacter sp. K	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	0	0	1	0	0	1	0	1
Acidithiobacillus ferrooxidans ATCC 53993	1	1	1	1	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0
Edwardsiella tarda EIB202	0	0	1	0	0	0	1	1	1	0	1	1	1	0	1	1	1	0	1	1	0	1	1	1	0	0	0	1	0	0	1	1	1
Desulfurococcus kamchatkensis 1221n	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0
Coprothermobacter proteolyticus DSM 5265	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	1	1	0
Dictyoglomus thermophilum H-6-12	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0
Thermodesulfovibrio yellowstonii DSM 11347	1	1	1	0	0	1	0	1	1	0	1	0	1	0	1	0	0	0	1	1	0	1	1	1	0	0	0	1	0	0	1	0	1
Laribacter hongkongensis HLHK9	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	1	1	1	1	0	0	0	1	0	1	0	1
Azotobacter vinelandii DJ	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	0	0	1	1	0	1	1	0
Ureaplasma urealyticum serovar 10 str. ATCC 33699	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Thermosipho africanus TCF52B	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0
Gluconacetobacter diazotrophicus PA1 5	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	1	0	1	0	1
Rhizobium leguminosarum bv. trifolii WSM2304	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	0	1	1	1
Oligotropha carboxidovorans OM5	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	0	0	1	1	0	0	0	0	1	0	1	0	0
Desulfovibrio vulgaris str. 'Miyazaki F'	0	0	1	1	1	0	0	1	1	1	1	0	1	0	0	1	0	0	1	1	0	1	1	1	0	1	0	1	0	0	0	0	1
Bifidobacterium animalis subsp. lactis AD011	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0
Sulfurihydrogenibium azorense Az-Fu1	1	1	1	1	0	1	0	1	1	0	1	0	1	0	1	1	0	1	1	1	0	0	1	1	0	0	0	1	1	1	0	0	1
Persephonella marina EX-H1	1	1	1	1	0	1	0	0	1	0	1	0	1	0	1	1	0	1	1	1	0	1	1	1	0	0	0	1	1	0	0	0	1
Dictyoglomus turgidum DSM 6724	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0
Thermomicrobium roseum DSM 5159	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1
Nautilia profundicola AmH	0	0	1	0	0	0	0	1	1	0	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	0	1	0	0	1	0	1
Methylocella silvestris BL2	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1
Thauera sp. MZ1T	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	1
Cyanothece sp. PCC 8801	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	0	0	1	1	0	1	0	0	0	0	1	1	0
Cyanothece sp. PCC 7424	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0
Rhodobacter capsulatus SB 1003	1	1	1	1	0	1	1	1	1	0	1	1	1	0	1	0	0	1	1	0	0	1	1	1	0	0	0	1	1	0	0	0	1
Haemophilus parasuis SH0165	0	0	1	0	0	0	1	1	1	0	1	0	1	1	1	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	1
Desulfatibacillum alkenivorans AK-01	0	0	0	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	1	0	1	1	1	0	0	0	1	0	0	1	0	1
Chloroflexus aggregans DSM 9485	0	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	1
Methanosphaerula palustris E1-9c	0	0	0	0	0	1	0	1	1	0	0	1	0	1	0	1	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0
Thioalkalivibrio sulfidiphilus HL-EbGr7	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0	0	0	1	0	0	0	1	1	0	1	0	1
Pseudarthrobacter chlorophenolicus A6	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Cyanothece sp. PCC 7425	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	0	0	1	1	0	0	1	0	0	0	1	1	0
[Clostridium] cellulolyticum H10	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	1	0	0
Methylobacterium nodulans ORS 2060	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	1	0	1	1	1
Brachyspira hyodysenteriae WA1	0	0	0	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0
Desulfovibrio desulfuricans subsp. desulfuricans str. ATCC 27774	0	0	1	0	0	0	0	1	1	0	1	1	1	0	1	1	0	0	1	1	0	1	1	1	0	0	0	1	0	0	0	0	1
Halorubrum lacusprofundi ATCC 49239	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	1	0
Geobacter daltonii FRC-32	1	1	1	1	0	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	0	1
Caldicellulosiruptor bescii DSM 6725	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0
Thermococcus gammatolerans EJ3	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0
Sulfolobus islandicus L.S.2.15	0	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Neorickettsia risticii str. Illinois	1	1	1	1	1	1	0	1	0	1	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Thermococcus sibiricus MM 739	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	1	1	0
Acidobacterium capsulatum ATCC 51196	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	0	0	0	1	0	0	1	0	1
Blattabacterium sp. (Blattella germanica) str. Bge	0	0	1	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1
Burkholderia glumae BGR1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	1	1	0	0	0	1	1	0	1	0	0
Bartonella grahamii as4aup	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0
Rickettsia prowazekii str. Rp22	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0
Edwardsiella ictaluri 93-146	0	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	1	1	1	0	0	0	1	0	0	1	1	1
Corynebacterium aurimucosum ATCC 700975	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	1	0	0
Aggregatibacter aphrophilus NJ8700	0	0	1	1	0	0	1	1	1	0	1	0	1	0	1	1	0	0	1	0	1	1	0	1	0	0	0	1	0	0	1	0	1
Teredinibacter turnerae T7901	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	0	1	0	1	0	0
Exiguobacterium sp. AT1b	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0
Tolumonas auensis DSM 9187	0	0	0	1	1	0	1	1	1	1	1	0	1	0	1	1	1	0	1	1	0	0	1	1	1	1	0	0	0	0	1	0	0
Lactobacillus plantarum JDM1	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	0	0	1	0	0	0	1	1	0	0	1	0	0	0	1	1	0
Beutenbergia cavernae DSM 12333	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Dyadobacter fermentans DSM 18053	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	1	1	1
Corynebacterium kroppenstedtii DSM 44385	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	0	1	0	1	1	0	0	1	0	0	0	1	1	0
Mycoplasma mycoides subsp. capri str. GM12	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Rhizobium leguminosarum bv. trifolii WSM1325	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1
Micrococcus luteus NCTC 2665	0	1	1	1	1	1	1	0	1	1	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0
Desulfomicrobium baculatum DSM 4028	0	0	1	1	1	1	0	1	1	1	1	0	1	0	0	1	0	0	1	1	0	1	1	1	0	0	0	1	0	0	1	0	1
Actinosynnema mirum DSM 43827	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	0	1	0	0	0	1	1	0	0	0	0	1	1	0
Acidimicrobium ferrooxidans DSM 10331	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0
Capnocytophaga ochracea DSM 7271	0	0	1	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	1	0	1	1	1	0	1	0	1	0	0	1	0	1
Kosmotoga olearia TBF 19.5.1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0
Variovorax paradoxus S110	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0
Geobacillus sp. WCH70	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0
Brachybacterium faecium DSM 4810	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0
Desulfovibrio salexigens DSM 2638	0	0	1	0	0	0	0	1	1	0	1	0	1	0	1	1	0	0	1	1	0	0	1	1	0	0	0	1	0	0	1	0	1
Zunongwangia profunda SM-A87	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	1	1
Paenibacillus sp. JDR-2	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0
Pectobacterium carotovorum subsp. carotovorum PC1	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	1	0	1	0	1	0	0	1	1	1
Geobacter sp. M21	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	0	1	0	1	1	0	1
Methylotenera mobilis JLW8	1	1	1	1	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	0	1	0	1
Flavobacteriaceae bacterium 3519-10	0	0	1	1	0	1	1	0	1	0	1	0	1	0	1	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	1	0	1
Methylovorus glucosetrophus SIP3-4	1	1	1	1	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0	1	1	0	1	0	0	1	0	0	0	0
Candidatus Liberibacter asiaticus str. psy62	0	0	0	1	1	0	0	0	0	1	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0
Hirschia baltica ATCC 49814	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	0	0	0	1	1	0	0	0	0	1	0	1	1	0
Pedobacter heparinus DSM 2366	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	0	1	1	0	0	0	1	0	0	1	0	1
Cryptobacterium curtum DSM 15641	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1
Saccharomonospora viridis DSM 43017	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0
Slackia heliotrinireducens DSM 20476	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	1	1	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	1
Leptotrichia buccalis C-1013-b	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0
Kytococcus sedentarius DSM 20547	0	1	1	0	1	1	1	1	1	1	1	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0
Halorhabdus utahensis DSM 12940	1	1	0	1	1	1	1	1	1	1	0	0	1	1	0	1	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0
Halomicrobium mukohataei DSM 12286	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	1	0
Methanocaldococcus fervens AG86	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0
Chitinophaga pinensis DSM 2588	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	0	1	1	1	0	0	1	1	1
Catenulispora acidiphila DSM 44928	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0
Jonesia denitrificans DSM 20603	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0
Kangiella koreensis DSM 16069	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0	1	1	1	1	0	0	1	0	0	0	0	1	0	1	1	0
Anaerococcus prevotii DSM 20548	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	1
Robiginitalea biformata HTCC2501	0	0	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	1	1	0	0	1	1	1	1	0	0	0	0	1	1	1
Candidatus Accumulibacter phosphatis clade IIA str. UW-1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1
Methanobrevibacter ruminantium M1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0
Desulfotomaculum acetoxidans DSM 771	0	0	0	0	0	0	1	1	1	0	1	1	1	0	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0
Atopobium parvulum DSM 20469	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0
Eggerthella lenta DSM 2243	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	1	1	0	1	1	1	0	1	1	0	0	0	1	0	0	1	0	1
Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446	0	0	0	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0
Desulfohalobium retbaense DSM 5692	0	0	1	0	0	0	0	1	1	0	1	0	1	0	0	1	0	0	1	1	0	1	1	1	0	0	0	1	0	0	1	0	1
Kribbella flavida DSM 17836	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Nakamurella multipartita DSM 44233	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0
Thermomonospora curvata DSM 43183	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0
Sebaldella termitidis ATCC 33386	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	0	1	0	0
Meiothermus ruber DSM 1279	1	1	1	1	1	1	1	0	1	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Bifidobacterium dentium Bd1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Candidatus Puniceispirillum marinum IMCC1322	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0
Anaplasma centrale str. Israel	1	1	1	1	1	1	0	1	0	1	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0
Stackebrandtia nassauensis DSM 44728	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	1	0
Streptobacillus moniliformis DSM 12112	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0
Ammonifex degensii KC4	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	1	0	0	1	1	0	1	1	1	0	0	0	1	0	0	1	0	1
Methanocaldococcus vulcanius M7	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0
Pectobacterium parmentieri WPP163	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	1	0	1	0	1	0	0	1	1	1
Fibrobacter succinogenes subsp. succinogenes S85	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0
Paenibacillus sp. Y412MC10	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0
Nitrosococcus halophilus Nc 4	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1
Halothiobacillus neapolitanus c2	1	1	1	1	1	1	0	1	1	0	1	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0
Gordonia bronchialis DSM 43247	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0
Haliangium ochraceum DSM 14365	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	0	1	1	1	1	0	0	1	1	0	0	1	1	1
Vibrio antiquarius	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1
Rhodothermus marinus DSM 4252	0	0	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1	1	0	0	0	1	0	0	1	0	1
Streptosporangium roseum DSM 43021	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Sulfurospirillum deleyianum DSM 6946	1	1	1	1	0	1	0	1	1	0	1	0	1	0	0	1	1	1	1	1	0	1	1	1	0	0	0	1	0	0	1	1	1
Thermanaerovibrio acidaminovorans DSM 6589	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0
Sanguibacter keddieii DSM 10542	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Veillonella parvula DSM 2008	0	0	0	1	0	0	1	1	1	0	1	0	0	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0
Xylanimonas cellulosilytica DSM 15894	0	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0
Sphaerobacter thermophilus DSM 20745	0	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1
Thermobaculum terrenum ATCC BAA-798	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Dehalococcoides mccartyi VS	0	0	0	0	0	1	0	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0
Dickeya zeae Ech586	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0
Staphylococcus lugdunensis HKU09-01	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0
Candidatus Atelocyanobacterium thalassa isolate ALOHA	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Pirellula staleyi DSM 6068	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	0	0	1	1	0	1	0	1	0	0	1	1	1
Gardnerella vaginalis 409-05	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0
Mageeibacillus indolicus UPII9-5	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Conexibacter woesei DSM 14684	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Archaeoglobus profundus DSM 5631	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0
Acidaminococcus fermentans DSM 20731	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0
Haloterrigena turkmenica DSM 5511	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	1	0
Geodermatophilus obscurus DSM 43160	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	0	0	0	0	0	1	1	0	0	0	0	1	1	0
Mycoplasma gallisepticum str. R(high)	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Pantoea ananatis LMG 20103	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	0	0	0	1	1	0	0	0	1	0	0	1	1	1
Allochromatium vinosum DSM 180	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	1	0	1	1	0	0	1	1	1	0	0	0	1	1	0	1	0	1
Ferroglobus placidus DSM 10642	0	0	1	1	1	0	1	1	1	0	0	0	1	0	0	1	0	0	1	1	0	1	1	1	0	0	0	1	0	0	1	0	1
Methanocaldococcus sp. FS406-22	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0
Thioalkalivibrio sp. K90mix	1	1	1	1	1	1	0	1	1	0	1	0	1	0	1	1	1	1	1	1	0	0	0	1	1	1	0	0	1	0	1	0	0
Enterobacter cloacae subsp. cloacae ATCC 13047	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0
