# dom_assign_file=gen_genF/genomes_refseq_nr_22122016_size300_cover10.faa.out.hmmsearch.tab
# list_file=nili.genus_curated.txt
# RefSeq_file=assembly_refseq.nr2016.txt
# PSEUDOCOUNT=0.8

# number of taxa in nili.genus_curated.txt = 144

	PF00034	PF00067	PF00108	PF00111	PF00115	PF00116	PF00117	PF00120	PF00142	PF00146	PF00148	PF00171	PF00173	PF00174	PF00175	PF00202	PF00205	PF00208	PF00258	PF00310	PF00329	PF00346	PF00355	PF00361	PF00378	PF00384	PF00420	PF00441	PF00449	PF00464	PF00480	PF00484	PF00499	PF00507	PF00547	PF00662	PF00696	PF00699	PF00701	PF00724	PF00725	PF00732	PF00743	PF00795	PF00848	PF00857	PF00884	PF00890	PF00941	PF00970	PF01035	PF01058	PF01077	PF01179	PF01182	PF01228	PF01257	PF01266	PF01276	PF01292	PF01315	PF01493	PF01494	PF01512	PF01515	PF01546	PF01568	PF01571	PF01575	PF01593	PF01613	PF01645	PF01799	PF01979	PF02211	PF02239	PF02335	PF02461	PF02550	PF02560	PF02615	PF02633	PF02665	PF02668	PF02727	PF02728	PF02737	PF02738	PF02746	PF02754	PF02771	PF02775	PF02776	PF02803	PF02812	PF02901	PF02975	PF02979	PF03060	PF03063	PF03069	PF03139	PF03241	PF03264	PF03404	PF03450	PF03460	PF03561	PF03709	PF03711	PF03892	PF03951	PF04131	PF04267	PF04268	PF04324	PF04744	PF04879	PF04896	PF04898	PF05088	PF05138	PF05199	PF05899	PF05985	PF06243	PF06433	PF06751	PF06980	PF07085	PF07722	PF07732	PF07833	PF07883	PF07969	PF07992	PF08669	PF08992	PF09098	PF09099	PF09100	PF09163	PF09347	PF10531	PF10588	PF10589	PF11794	PF11844	PF12411	PF12437	PF12680	PF12800	PF12801	PF12838	PF12942	PF13183	PF13237	PF13247	PF13336	PF13378	PF13435	PF13442	PF13447	PF13450	PF13459	PF13500	PF13510	PF13522	PF13806	PF14437	PF14691	PF14710	PF14711	PF14930	PF16694	PF16901
Pelobacter carbinolicus DSM 2380	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	1	1	1	1	0	1	1	0	1	1	1	0	1	1	0	1	1	1	0	0	1	0	1	0	1	0	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	1	0	1	1	0	1	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	1	1	0	0	1	1	0	0	1	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	0	0	0	0	0
Geobacter metallireducens GS-15	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	0	0	1	1	0	0	0	1	1	0	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	0	1	1	0	0	0	0	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1
Burkholderia lata	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	0	0	1	1	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	0	0	0	1	0	1	1	1	1	0	0	0	1	1	1	1	0	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	1	0	0	0	1	1
Sulfurimonas denitrificans DSM 1251	1	0	1	0	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	0	1	1	0	1	0	0	0	1	1	0	0	1	1	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	0	1	1	1	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	0	1	1	1	0	1	1	1	0	1	0	1	1	1	0	1	1	0	0	0	0	0
Hahella chejuensis KCTC 2396	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	1	1	0	0	1	1	0	1	1	1	1	1	1	0	0	0	1	0	0	0	0	1	1	1	1	1	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	1	0	0	0	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	1	1	0	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	0	1	0	0	1
Erythrobacter litoralis HTCC2594	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	0	1	0	1	1	0	0	1	0	1	0	1	0	0	1	1	0	1	1	0	0	0	0	0
Hyphomonas neptunium ATCC 15444	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	0	1	1	1	0	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	1	1	0	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	1	0	1	0	0	0
Salinibacter ruber DSM 13855	1	0	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	1	1	0	0	0	1	1	1	0	1	0	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	1	0	1	1	1	0	1	0	1	0	1	1	0	1	1	0	1	1	0	0	0	0	1
Rhodospirillum rubrum ATCC 11170	1	0	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	0	0	1	0	1	0	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	1	1	0	0	0	1	0	0	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	1	1	1	0	1	0	0	1	1	1	1	0	1	1	1	1	1	0	1	0	1	0	1	0	1	0	1	1	0	0	0	0	1
Moorella thermoacetica ATCC 39073	0	0	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	1	0	1	1	0	1	1	0	1	1	0	0	0	1	0	1	0	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	0	0	0	0	1	0	1	1	0	0	0	1	1	0	1	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	1	0	1	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	1	0	1	1	1	0	1	0	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0
Anaplasma phagocytophilum str. HZ	1	0	1	1	1	1	1	1	0	1	0	1	0	0	0	1	0	1	0	0	1	1	1	1	0	1	1	0	0	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0
Ehrlichia chaffeensis str. Arkansas	1	0	1	1	1	1	1	1	1	1	0	1	0	0	0	1	0	1	0	0	1	1	1	1	0	1	1	0	0	1	0	0	1	1	0	1	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0	0	1	1	1	1	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0
Neorickettsia sennetsu str. Miyayama	1	0	1	1	1	1	1	1	0	1	0	0	0	0	0	1	0	1	0	0	1	1	1	1	0	1	1	0	0	1	0	0	1	1	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	1	1	0	0	1	1	1	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	1	1	1	0	1	1	0	0	0	0	0
Baumannia cicadellinicola str. Hc (Homalodisca coagulata)	0	0	1	1	1	1	1	0	0	1	0	0	0	0	1	1	0	0	1	0	1	1	0	1	0	1	1	0	0	1	0	0	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0
Synechococcus sp. JA-3-3Ab	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	0	0	0	0	1	0	1	1	1	0	0	1	1	1	1	1	1	0	1	1	0	0	1	1	0	0	1	1	1	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	1	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	1	1	0	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0
Synechococcus sp. JA-2-3B'a(2-13)	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	0	1	1	0	0	1	1	1	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	1	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	1	1	0	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0
Helicobacter pylori HPAG1	1	0	1	0	1	0	1	1	1	1	0	1	0	0	0	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	1	1	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0
Novosphingobium aromaticivorans DSM 12444	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	1	1	1	0	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0	1	1	0	1	1	0	0	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	0	1	0	1
Frankia casuarinae	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	0	0	1	1	0	1	0	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	0	0	0	0	1
Rhodopseudomonas palustris HaA2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	1	0	0	0	1	1	1	0	0	0	0	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	0	0	1	1	0	1	1	1	1	0	0	0	0	0	1	1	1	1	0	1	0	0	1	1	1	1	0	1	1	0	1	1	0	1	0	1	1	1	1	1	0	1	1	0	0	0	0	1
Anaeromyxobacter dehalogenans 2CP-C	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	0	1	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	1	0	0	1	1	1	1	0	0	0	0	1	0	0	1	1	0	1	0	1	0	0	1	1	0	0	0	0	1	1	1	1	0	1	1	1	1	0	0	0	0	1	0	1	1	1	0	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	0	1
Syntrophus aciditrophicus SB	0	0	1	1	0	0	1	1	1	0	0	1	0	0	1	1	1	1	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	1	0	1	0	1	0	1	1	0	1	0	1	0	1	0	1	1	0	1	0	1	1	0	1	0	1	1	1	1	1	1	0	0	1	1	1	0	1	0	0	1	0	1	0	1	0	1	0	0	0	1	0	0	1	1	1	1	1	1	0	0	1	1	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	1	0	1	1	1	1	0	0	1	0	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0
Methanospirillum hungatei JF-1	0	0	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	0	1	1	1	1	0	1	0	1	1	0	0	1	1	1	0	0	0	1	1	0	1	0	0	0	0	1	0	1	1	1	0	0	1	1	1	0	0	0	1	1	0	0	0	1	1	1	0	1	1	0	0	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	1	1	1	1	0	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0
Jannaschia sp. CCS1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	0	0	1	0	0	1	1	1	1	0	0	0	0	0	1	1	1	1	0	0	1	0	1	1	1	1	0	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1	1	0	0	0	1	0
Rhodoferax ferrireducens T118	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	0	1	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	1	0	1	0	0	0	1	0	1	0	1	1	0	1	1	1	0	0	1	0	1	1	0	0	1	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0
Janthinobacterium sp. Marseille	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	1	0	0	0	1	0	1	0	1	1	0	1	1	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1	1	0	0	0	1	1
Paraburkholderia xenovorans LB400	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	1	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	0	0	0	1	1	1	1	1	0	0	1	0	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0
Saccharophagus degradans 2-40	1	0	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	0	1	1	0	0	1	0	1	1	0	1	1	1	1	1	0	0	1	0	1	1	1	0	1	1	1	1	0	1	0	1	0	1	1	0	1	0	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	1	1	1	0	0	1	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	1	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	1	1	1	0	0	0	0	0
Rhodopseudomonas palustris BisB5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	0	1	0	0	0	1	1	1	0	0	0	0	1	0	0	0	1	0	1	0	1	0	1	1	1	1	1	0	1	0	0	1	1	0	1	1	1	1	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	0	0	0	1
Methylobacillus flagellatus KT	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	1	1	0	1	0	1	1	1	0	1	0	1	0	0	0	1	0	0	1	0	0	0	1	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	1	1	0	1	1	0	0	0	0	1	0	1	0	1	1	1	1	1	0	0	0	0	0	0
Methanococcoides burtonii DSM 6242	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1	0	0	1	0	0	1	1	0	1	1	0	1	1	0	0	0	1	0	0	1	1	0	1	1	1	1	0	0	0	0	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	0	1	0	1	1	0	0	0	0	0
Rhodopseudomonas palustris BisB18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	0	0	0	0	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	0	1	0	1	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	1	0	0	0	0	1
Shewanella denitrificans OS217	1	0	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	0	0	1	0	1	1	0	1	0	1	1	1	0	0	0	0	1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	1	0	1	0	1	1	0	1	0	1	0	0	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	1	1	0	0	0	0	1	0	1	0	1	0	1	1	1	1	0	0	0	0	0
Pseudomonas stutzeri A1501	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	1	0	1	1	1	1	1	1	1	0	0	0	1	0	1	0	1	1	0	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	1	0	0	1	1	1	1	0	1	1	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1	1	0	0	1
Polaromonas sp. JS666	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	1	0	0	0	1	1	1	0	1	1	0	1	0	0	0	1	0	1	0	1	1	0	1	1	0	0	0	0	1	0	1	1	0	1	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	1	1	0	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	0	1
